voltage,model,dcr_enabled,ap_enabled,n_params,bic,dcr_bic_selected,bic_selected,converged,logl,n_iter,n_events,chi_sq,ndf,p_value,lam,lam_err,ped_ped_mean,ped_ped_mean_err,ped_ped_sigma,ped_ped_sigma_err,spe_spe_mean,spe_spe_sigma,spe_xi,spe_spe_sigma_err,spe_spe_mean_err,spe_xi_err,spe_spe_res,spe_spe_res_err,spe_theta,spe_theta_err,dark_enabled,dark_mu_dark,dark_mu_dark_err,dark_log_mu_dark,dark_log_mu_dark_err,spe_rho,spe_beta,spe_alpha,spe_mean_ap,spe_total_mean,spe_ap_charge_mean,spe_beta_shape_b,spe_rho_err,spe_beta_err,spe_ap_charge_mean_err,spe_beta_shape_b_err,spe_alpha_err,spe_ap_charge_fraction,spe_ap_charge_fraction_err
53.0,DCR_off_AP_off,False,False,7,2207.7777991705198,False,True,True,-1059.3919814708643,49,333760,324.9124150316109,201,7.025031866243067e-08,0.4220197980522343,0.0013339154715290872,-0.020354823135262084,0.021654850786033936,8.970610218473269,0.01609039582933497,35.83694773447964,2.2781762377387484,0.004318132859025949,0.10448663209154825,0.15480641627287084,0.001320164593478174,0.0635705991095569,0.00292851546131707,0.004318132859025949,0.001320164593478174,False,,,,,,,,,,,,,,,,,,
53.5,DCR_off_AP_off,False,False,7,3797.510977298995,False,True,True,-1852.354963876307,54,576520,845.3522145397812,284,3.965975913121831e-57,0.5868623400998472,0.0011548498124068658,0.037469067149104536,0.01577606400749276,9.038238851090039,0.011504497142549738,49.29683081488277,3.147180200669861,0.005489060933210346,0.04110655870181147,0.061335901017042456,0.0009453868709804101,0.06384143054729034,0.0008376328288529283,0.005489060933210346,0.0009453868709804101,False,,,,,,,,,,,,,,,,,,
54.0,DCR_on_AP_off,True,False,8,3566.6882967683355,False,True,True,-1731.8549659829587,105,390040,497.49912660490253,380,4.579124663204048e-05,0.6995683788906596,0.001907331514576753,0.10237677643499069,0.020783032526880896,8.734343467724784,0.01542635357873369,62.949484553386675,3.40621109333396,0.006074474090971312,0.04796315858465319,0.07494886724313977,0.0011795082444104531,0.05411023009164109,0.0007646497656201757,0.006074474090971312,0.0011795082444104531,True,0.054040007143823864,0.0021063313795080026,-2.9180306336950355,0.038977259457093384,,,,,,,,,,,,,,
54.5,DCR_on_AP_on,True,True,10,3796.8233578777713,False,True,True,-1834.8560909722,334,331800,512.4714465367965,463,0.05558996228877377,0.8076508948836767,0.0020602688351778952,0.24212758825306124,0.022528326583364365,8.672627556943306,0.017236899927793814,76.3520074518455,3.7301707734736995,0.006658941952644037,0.04750560585084931,0.07179046631659218,0.0013081689151524633,0.0488549142054488,0.0006238853868193005,0.006658941952644037,0.0013081689151524633,True,0.05687661458288935,0.001788283147085284,-2.86687101384338,0.031441448479306425,0.004636761709497271,0.42869653223038123,0.0019877636656400947,0.004658361421364855,76.50377719805695,32.58007107722293,2.6870375003708316,0.0003634330171519414,0.032793598985816345,3.5683849529697826,0.35854402255868606,0.00021770500624434524,0.42670876856474116,0.046737689817560164
55.0,DCR_on_AP_on,True,True,10,4471.080587434465,False,True,True,-2171.7205734383315,310,349440,560.9132690788388,561,0.4930925512710271,0.8996408517252746,0.0020812434890500726,0.2324911713776129,0.022661434686275798,8.722676883965889,0.01722692850880131,89.71545065053391,3.8731928492122822,0.010167669576299082,0.04138904957305694,0.06288807559169622,0.001260009353793228,0.04317197117249538,0.00046232841543046387,0.010167669576299082,0.001260009353793228,True,0.06129297728640873,0.0015462578977833694,-2.7920900056304063,0.02522732564544945,0.007567310153879068,0.4399027791868409,0.0033288807676602025,0.007625010976867758,90.01410268876644,39.16742403893721,2.581125915319107,0.0001522554870453406,0.00877130057723168,1.1098164541930107,0.09134659676991941,9.429560587868588e-05,0.4365738984191807,0.012374189694044002
55.5,DCR_on_AP_on,True,True,10,5153.366125485419,False,True,True,-2513.1772827049717,362,328160,782.4971171322798,667,0.001288361332631344,0.9734918445919378,0.0022327500974593127,0.22527753640473566,0.024022223901311278,8.742379640205815,0.018273139956568103,103.01112764723155,4.088602164610065,0.012627412869798705,0.03999663657335142,0.06040455707771406,0.0012816176445163325,0.039690878626353406,0.0003889718496697893,0.012627412869798705,0.0012816176445163325,True,0.06630963323802148,0.0015310219664206703,-2.713420094637295,0.023088982575502966,0.012150438774046127,0.4023527882681512,0.004888762919418916,0.01229988780778222,103.51472462836087,40.943217450380736,3.0319019394150537,0.0005073859908505082,0.014242507174206921,2.2414875362367046,0.1781383044216945,0.00026762607399837045,0.39746402534873226,0.021760912266089397
56.0,DCR_on_AP_on,True,True,10,5836.570550716739,False,True,True,-2854.0396594391204,414,380520,796.4741222130174,777,0.3061419953843937,1.0359654379142305,0.0021453006107809585,0.23653691090612586,0.02290219722899238,8.749727000919943,0.017511827893412057,116.17221670723038,4.363566092866788,0.013650951654807128,0.035243616505742405,0.05335324310972511,0.001183934638356488,0.037561184735448075,0.0003038639292316574,0.013650951654807128,0.001183934638356488,True,0.06896902808188622,0.0014000809620041527,-2.6740977435349054,0.02030014052600322,0.0173973561992948,0.3995943286452349,0.006951884870659221,0.017705383054946663,116.97983258294832,45.61414306663652,3.0936928284509206,0.0004675478045403288,0.008400781242440671,1.5565291698514687,0.1071135270993624,0.0002372034374146082,0.3926424437745757,0.013399676603379321
56.5,DCR_on_AP_on,True,True,10,6461.577036257012,False,True,True,-3166.8459596079774,312,358120,903.9751309321477,873,0.22704508663867656,1.094065317980236,0.002288548641704672,0.2025920530505332,0.02421519952929629,8.745396546084883,0.018566786223370862,129.285921596282,4.546183859120602,0.016185532264938303,0.03516966337498315,0.05335867142263057,0.0012204624530982836,0.035163796668572,0.00027241695995105375,0.016185532264938303,0.0012204624530982836,True,0.07698470287287276,0.0014648234301223573,-2.564148540853423,0.01902746098197282,0.02116893036614272,0.4027810604540093,0.008526444221552043,0.021626745434287446,130.38827079540465,50.971571403201715,3.0728638743972914,0.00047869018230431947,0.0067640551080743825,1.4358517278785936,0.08522664190815571,0.0002401612363712001,0.3942546162324572,0.011107209582129384
57.0,DCR_on_AP_on,True,True,10,6978.038800250051,False,True,True,-3425.669800810516,288,318080,1049.6871106995086,966,0.03097529953314261,1.1352435159418344,0.0024812449833569697,0.2140217536078526,0.026254337363494015,8.750332190704931,0.020124979357134087,142.3197116164068,4.801020939682764,0.019334347050192,0.036185158078330885,0.055131695852903805,0.0012983930956232549,0.033734054721969345,0.00025458821408613503,0.019334347050192,0.0012983930956232549,True,0.08105544051439806,0.0015529178892420435,-2.5126219076442786,0.0191587125970427,0.027276930179067183,0.4049103582607214,0.011044711571058777,0.028041825083976422,143.8915917820863,56.05484525248236,3.077873678015524,0.0005239885904991262,0.00564093556177164,1.3303482158189546,0.07079434480643293,0.0002620889386758887,0.3938656466896626,0.009348848484665672
57.5,DCR_on_AP_on,True,True,10,7824.590045497807,False,True,True,-3848.8935141987167,510,321440,1261.6568409267086,1085,0.00014834703571041535,1.16707149857234,0.002509489430271669,0.24884073476123977,0.026570688132668444,8.750249476746495,0.020323020471929736,155.24621229572477,5.087249733149829,0.02391793610016969,0.035237141571305405,0.053883399795041,0.0012821019895128663,0.03276891370115523,0.00022726063406572862,0.02391793610016969,0.0012821019895128663,True,0.08585041882873765,0.0015537423898610164,-2.4551488130397474,0.01809825055088625,0.03254233305211558,0.3947702720294118,0.012846745671455388,0.033636958146995175,157.24062090154473,59.292180853699136,3.2366504338502247,0.0005336542662416868,0.004699467813299386,1.2016767804666768,0.06240559878164748,0.00026032727736797654,0.3819235263579564,0.007741592955436011
