voltage,model,dcr_enabled,ap_enabled,n_params,bic,dcr_bic_selected,bic_selected,converged,logl,n_iter,n_events,chi_sq,ndf,p_value,lam,lam_err,ped_ped_mean,ped_ped_mean_err,ped_ped_sigma,ped_ped_sigma_err,spe_spe_mean,spe_spe_sigma,spe_spe_res,spe_xi,spe_rho,spe_beta,spe_alpha,spe_mean_ap,spe_total_mean,spe_ap_charge_mean,spe_beta_shape_b,spe_spe_sigma_err,spe_spe_mean_err,spe_xi_err,spe_rho_err,spe_beta_err,spe_ap_charge_mean_err,spe_beta_shape_b_err,spe_alpha_err,spe_spe_res_err,spe_theta,spe_theta_err,spe_ap_charge_fraction,spe_ap_charge_fraction_err,dark_enabled,dark_mu_dark,dark_mu_dark_err,dark_log_mu_dark,dark_log_mu_dark_err
53.0,DCR_off_AP_on,False,True,9,2225.628536168424,False,False,True,-1055.6039447942749,230,333760,325.06792513284626,198,3.178944791350871e-08,0.4209926240349764,0.0013705118991005172,-0.007521333359215771,0.02191689787538317,8.983541017970536,0.016470093230129067,35.1874227905656,1.0,0.028419245306823625,0.003129010540479046,0.18473263945980906,0.11528173649876265,0.021296299464926633,0.22659148201076806,35.93678468371247,3.3071053090656695,19.279892535691175,0.6216753459582449,0.7835335818936947,0.001439451416834067,0.1771203139255796,0.00375788717315172,3.1735151286344605,4.674897876707899,0.020430534870357866,0.01767887389901963,0.003129010540479046,0.001439451416834067,0.09398543703383602,0.09021318331545591,False,,,,
53.0,DCR_off_AP_off,False,False,7,2207.7777991705198,False,True,True,-1059.3919814708643,49,333760,324.9124150316109,201,7.025031866243067e-08,0.4220197980522343,0.0013339154715290872,-0.020354823135262084,0.021654850786033936,8.970610218473269,0.01609039582933497,35.83694773447964,2.2781762377387484,0.0635705991095569,0.004318132859025949,,,,,,,,0.10448663209154825,0.15480641627287084,0.001320164593478174,,,,,,0.00292851546131707,0.004318132859025949,0.001320164593478174,,,False,,,,
53.0,DCR_on_AP_on,True,True,10,2238.4053979016567,False,False,True,-1055.6356730731204,335,333760,325.0856183381296,197,2.4447616745992063e-08,0.42094158683804633,0.0013990803383069766,-0.007710522918846659,0.021953811559964398,8.983451655820945,0.016471782674016715,35.190007651750996,1.0,0.0284171577879791,0.0031282730220670405,0.1839713411235719,0.11544710342020538,0.02123895844504689,0.22544715693794137,35.937406761947415,3.3151853425330944,19.22958689535151,0.6187795104061459,0.7806964155536475,0.001439921895602485,0.17512683585058805,0.0035076311586501366,3.1582698372186266,4.601486122795456,0.0202281815354081,0.017595252964919816,0.0031282730220670405,0.001439921895602485,0.09420814497515849,0.08977338463798236,True,0.00010000000000000009,0.0005616961372544092,-9.210340371976182,5.616961372544087
53.0,DCR_on_AP_off,True,False,8,2217.1341418097695,False,False,True,-1057.7134502027184,111,333760,323.1606899652912,205,2.6206416308140666e-07,0.42307125736611384,0.0012308298119941769,-0.022547121729798093,0.021623698418871098,8.955488846139206,0.016717325006017345,377.8360715685863,2.3193277155046106,0.00613844968765402,0.0002111452955178371,,,,,,,,0.10424421703707812,0.15554763561834228,,,,,,,0.0002759095745920606,0.0002111452955178371,,,,True,0.001154673268216098,0.0004009901145974328,-6.763937859689181,0.3472758274008879
53.5,DCR_off_AP_on,False,True,9,3824.0255299111304,False,False,True,-1852.3549473900348,110,576520,845.3527354021178,282,1.3181271950776595e-57,0.5868623013981727,0.0011548499192657131,0.03746911970549473,0.015776064215326957,9.038239005008519,0.011504492165255635,49.296237705559584,3.1471471339379002,0.06384152788160886,0.005489068121039475,0.0024696363108695192,0.004876034758798993,1.2042032493391891e-05,0.0024757505142361308,49.29683133245584,0.23977654163407372,409.18482541791974,0.04062408108689976,,0.000945387520632334,0.008133947810028137,0.015150474027302956,,1277.609118453701,5.452519334555043e-05,,0.005489068121039475,0.000945387520632334,0.004863992726305601,,False,,,,
53.5,DCR_off_AP_off,False,False,7,3797.510977298995,False,True,True,-1852.354963876307,54,576520,845.3522145397812,284,3.965975913121831e-57,0.5868623400998472,0.0011548498124068658,0.037469067149104536,0.01577606400749276,9.038238851090039,0.011504497142549738,49.29683081488277,3.147180200669861,0.06384143054729034,0.005489060933210346,,,,,,,,0.04110655870181147,0.061335901017042456,0.0009453868709804101,,,,,,0.0008376328288529283,0.005489060933210346,0.0009453868709804101,,,False,,,,
53.5,DCR_on_AP_on,True,True,10,3831.009244456415,False,False,True,-1849.218158266507,366,576520,812.5531419533438,281,4.1033647900190993e-53,0.5798510842303521,0.003043378135295444,-0.004487686643540636,0.023072960877773246,9.013469364619437,0.01599996040264267,49.35969385509373,2.972939666547539,0.06023010748963029,0.005489620521078711,0.0016520041004220538,0.3140391985242581,0.0005187940436553297,0.0016547377339436518,49.385301370262404,15.47527118248771,4.379170131887662,0.09858850836802621,0.14972318658707148,0.0010093810456020095,0.0015635318328262493,0.16258387996306933,16.694659429224824,3.3026290388665243,0.0005596706857941316,0.0020056866337505763,0.005489620521078711,0.0010093810456020095,0.31352040448060275,0.33822587052020525,True,0.013452480947559572,0.005454863697965138,-4.308591732876776,0.4054912784659777
53.5,DCR_on_AP_off,True,False,8,3804.770462452615,False,False,True,-1849.3560600569472,99,576520,807.8572968895946,283,5.5368127543324185e-52,0.5799826403091868,0.0030110124307505073,-0.0035045481018196444,0.0228724201301999,9.011281401220746,0.015820653560671142,49.3663624355375,3.029815908513591,0.061374096835064944,0.0057096676472856165,,,,,,,,0.0648680994052321,0.11102009047262001,0.0009586655631576291,,,,,,0.0013212433266804303,0.0057096676472856165,0.0009586655631576291,,,True,0.013338407668639873,0.005400195478361163,-4.317107610788673,0.4048605810015571
54.0,DCR_on_AP_on,True,True,10,3591.384326509533,False,False,True,-1731.330685253255,422,390040,499.2605143550395,378,2.734086366092365e-05,0.7000271607535429,0.001955224302929317,0.10435352908195913,0.020873556102505637,8.73899885217811,0.01608566880248939,62.94163758168061,3.3729161898155757,0.05358799547340146,0.005887538957891031,0.0009578268950637274,0.3599432053271648,0.0003447632827578039,0.0009587452070085136,62.96333754727542,22.633714814096045,3.5617593575475475,0.058374477865470085,0.08583555423651613,0.001201173939688319,0.0008843147934821478,0.17136760528205489,23.51143180685586,2.647937272967232,0.0003581326129357421,0.0009303129690759482,0.005887538957891031,0.001201173939688319,0.359598442044407,0.37354369811779675,True,0.05303369467147301,0.0023056326861368237,-2.9368278189141352,0.04347486443136746
54.0,DCR_off_AP_off,False,False,7,4336.215018868958,False,False,True,-2123.0544748334214,53,390040,1522.6892415619693,382,9.79981831309894e-136,0.7276207858289299,0.0015973046828000469,0.3165362108291583,0.019464226340608688,8.93148425196257,0.014085373149574249,62.643642165617976,4.007318580809716,0.06397007648781214,0.005300528266738038,,,,,,,,0.035491563322377684,0.05409665519443663,0.0011409588618883327,,,,,,0.0005692496870541686,0.005300528266738038,0.0011409588618883327,,,False,,,,
